,start,end,duration,round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,epochs,losses,lstm_units,optimizer
0,05/11/22-105921,05/11/22-110613,412.1577413082123,100,-117.36400604248047,0.30203092098236084,-79.93938446044922,0.33222925662994385,32,0.1,100,binary_crossentropy,50,rmsprop
1,05/11/22-110613,05/11/22-111313,419.9062535762787,100,-75.21810913085938,0.33602654933929443,-60.997371673583984,0.34319016337394714,32,0.1,100,binary_crossentropy,50,Adam
2,05/11/22-111314,05/11/22-112341,627.7899792194366,100,-235.6652374267578,0.30117499828338623,-163.03671264648438,0.31206706166267395,32,0.1,100,binary_crossentropy,100,rmsprop
3,05/11/22-112342,05/11/22-113444,662.7157077789307,100,-146.60682678222656,0.34734633564949036,-112.41886138916016,0.35307446122169495,32,0.1,100,binary_crossentropy,100,Adam
4,05/11/22-113444,05/11/22-114529,644.905038356781,100,77.59529876708984,0.9794425368309021,88.41814422607422,0.9863702654838562,32,0.1,100,categorical_crossentropy,50,rmsprop
5,05/11/22-114530,05/11/22-115532,602.767110824585,100,60.91118621826172,1.0229930877685547,75.47086334228516,1.0227376222610474,32,0.1,100,categorical_crossentropy,50,Adam
6,05/11/22-115532,05/11/22-121019,886.7793962955475,100,127.54769897460938,1.0000674724578857,145.09002685546875,1.0133394002914429,32,0.1,100,categorical_crossentropy,100,rmsprop
7,05/11/22-121019,05/11/22-122537,917.5447826385498,100,93.09716033935547,1.0229930877685547,90.64363098144531,1.0227376222610474,32,0.1,100,categorical_crossentropy,100,Adam
8,05/11/22-122537,05/11/22-123709,692.3552453517914,100,0.2225089967250824,0.2225089967250824,0.26126527786254883,0.26126527786254883,32,0.1,100,mean_absolute_error,50,rmsprop
9,05/11/22-123710,05/11/22-124847,696.8861219882965,100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,50,Adam
10,05/11/22-124847,05/11/22-130517,990.2571184635162,100,0.20920512080192566,0.20920512080192566,0.2548307776451111,0.2548307776451111,32,0.1,100,mean_absolute_error,100,rmsprop
11,05/11/22-130517,05/11/22-132134,976.4277849197388,100,0.2909349203109741,0.2909349203109741,0.2988106906414032,0.2988106906414032,32,0.1,100,mean_absolute_error,100,Adam
12,05/11/22-132134,05/11/22-133305,690.8524904251099,100,-94.88948822021484,0.3219428062438965,-67.38777160644531,0.32320550084114075,32,0.5,100,binary_crossentropy,50,rmsprop
13,05/11/22-133305,05/11/22-134641,816.4257590770721,100,-71.722412109375,0.35162249207496643,-55.57635498046875,0.34082841873168945,32,0.5,100,binary_crossentropy,50,Adam
14,05/11/22-134641,05/11/22-140322,1001.0417332649231,100,-192.64601135253906,0.31673651933670044,-146.34095764160156,0.31468209624290466,32,0.5,100,binary_crossentropy,100,rmsprop
15,05/11/22-140323,05/11/22-141823,900.1043260097504,100,-128.5088348388672,0.35714012384414673,-112.50115966796875,0.34047931432724,32,0.5,100,binary_crossentropy,100,Adam
16,05/11/22-141823,05/11/22-143053,750.2692980766296,100,82.68980407714844,0.975433886051178,87.93506622314453,1.0037368535995483,32,0.5,100,categorical_crossentropy,50,rmsprop
17,05/11/22-143053,05/11/22-144339,765.1092247962952,100,78.26679992675781,1.0229930877685547,82.20703887939453,1.0227376222610474,32,0.5,100,categorical_crossentropy,50,Adam
18,05/11/22-144339,05/11/22-150617,1357.997132062912,100,150.6124267578125,0.9950675368309021,158.5255126953125,1.0081125497817993,32,0.5,100,categorical_crossentropy,100,rmsprop
19,05/11/22-150617,05/11/22-152331,1033.7951221466064,100,107.29481506347656,1.0229930877685547,108.11832427978516,1.0227376222610474,32,0.5,100,categorical_crossentropy,100,Adam
20,05/11/22-152331,05/11/22-153618,766.6704475879669,100,0.243627667427063,0.243627667427063,0.2709188461303711,0.2709188461303711,32,0.5,100,mean_absolute_error,50,rmsprop
21,05/11/22-153618,05/11/22-154855,756.9875476360321,100,0.28530722856521606,0.28530722856521606,0.29404008388519287,0.29404008388519287,32,0.5,100,mean_absolute_error,50,Adam
22,05/11/22-154855,05/11/22-160229,813.7167496681213,100,0.21360427141189575,0.21360427141189575,0.25744014978408813,0.25744014978408813,32,0.5,100,mean_absolute_error,100,rmsprop
23,05/11/22-160229,05/11/22-161932,1022.7268710136414,100,0.29147985577583313,0.29147985577583313,0.2972193956375122,0.2972193956375122,32,0.5,100,mean_absolute_error,100,Adam
24,05/11/22-161932,05/11/22-162923,590.8384969234467,100,-58.798973083496094,0.3137780427932739,-44.106746673583984,0.32092538475990295,64,0.1,100,binary_crossentropy,50,rmsprop
25,05/11/22-162923,05/11/22-163901,577.8536701202393,100,-47.38010787963867,0.33540526032447815,-34.679664611816406,0.3487343192100525,64,0.1,100,binary_crossentropy,50,Adam
26,05/11/22-163901,05/11/22-165726,1105.280128955841,100,-116.72885131835938,0.3116307556629181,-89.396728515625,0.31699323654174805,64,0.1,100,binary_crossentropy,100,rmsprop
27,05/11/22-165726,05/11/22-171452,1045.2852804660797,100,-84.75138092041016,0.3344481885433197,-67.46803283691406,0.34054648876190186,64,0.1,100,binary_crossentropy,100,Adam
28,05/11/22-171452,05/11/22-172524,632.1761231422424,100,33.81471633911133,0.98382967710495,37.390541076660156,1.007275938987732,64,0.1,100,categorical_crossentropy,50,rmsprop
29,05/11/22-172524,05/11/22-173522,598.0535440444946,100,31.050424575805664,1.0229932069778442,33.33891296386719,1.0227375030517578,64,0.1,100,categorical_crossentropy,50,Adam
30,05/11/22-173522,05/11/22-175211,1008.360645532608,100,45.587738037109375,0.9850871562957764,49.24758529663086,1.0119751691818237,64,0.1,100,categorical_crossentropy,100,rmsprop
31,05/11/22-175211,05/11/22-181123,1151.9675178527832,100,46.10136413574219,1.0229932069778442,50.74989318847656,1.0227375030517578,64,0.1,100,categorical_crossentropy,100,Adam
32,05/11/22-181123,05/11/22-182148,625.4032294750214,100,0.2282198816537857,0.2282198816537857,0.26442012190818787,0.26442012190818787,64,0.1,100,mean_absolute_error,50,rmsprop
33,05/11/22-182149,05/11/22-183135,586.6586771011353,100,0.28959861397743225,0.28959861397743225,0.2972104251384735,0.2972104251384735,64,0.1,100,mean_absolute_error,50,Adam
34,05/11/22-183135,05/11/22-185035,1139.421139717102,100,0.20459748804569244,0.20459748804569244,0.2561773955821991,0.2561773955821991,64,0.1,100,mean_absolute_error,100,rmsprop
35,05/11/22-185035,05/11/22-190751,1036.0819056034088,100,0.29114922881126404,0.29114922881126404,0.2981926202774048,0.2981926202774048,64,0.1,100,mean_absolute_error,100,Adam
36,05/11/22-190751,05/11/22-191742,590.6959187984467,100,-50.756187438964844,0.3356046974658966,-39.37239456176758,0.32394880056381226,64,0.5,100,binary_crossentropy,50,rmsprop
37,05/11/22-191742,05/11/22-192718,575.8208167552948,100,-45.13414001464844,0.3488789200782776,-35.04325866699219,0.33802497386932373,64,0.5,100,binary_crossentropy,50,Adam
38,05/11/22-192718,05/11/22-194512,1074.0827441215515,100,-105.671875,0.3208901286125183,-77.65679168701172,0.3119986355304718,64,0.5,100,binary_crossentropy,100,rmsprop
39,05/11/22-194513,05/11/22-200336,1103.40895986557,100,-63.47990036010742,0.3642657697200775,-49.7653923034668,0.3550567924976349,64,0.5,100,binary_crossentropy,100,Adam
40,05/11/22-200336,05/11/22-201446,669.5136477947235,100,42.1338005065918,0.9925857782363892,42.77769088745117,1.000798225402832,64,0.5,100,categorical_crossentropy,50,rmsprop
41,05/11/22-201446,05/11/22-202602,676.3202564716339,100,34.88156509399414,1.0229932069778442,35.43248748779297,1.0227375030517578,64,0.5,100,categorical_crossentropy,50,Adam
42,05/11/22-202602,05/11/22-204615,1212.663941860199,100,70.3736343383789,0.9875033497810364,69.28085327148438,1.0056012868881226,64,0.5,100,categorical_crossentropy,100,rmsprop
43,05/11/22-204615,05/11/22-210411,1075.8266689777374,100,54.56718826293945,1.0229932069778442,55.723121643066406,1.0227375030517578,64,0.5,100,categorical_crossentropy,100,Adam
44,05/11/22-210411,05/11/22-211344,572.9502351284027,100,0.2241332232952118,0.2241332232952118,0.2552289664745331,0.2552289664745331,64,0.5,100,mean_absolute_error,50,rmsprop
45,05/11/22-211344,05/11/22-212319,574.1587119102478,100,0.24718867242336273,0.24718867242336273,0.27008500695228577,0.27008500695228577,64,0.5,100,mean_absolute_error,50,Adam
46,05/11/22-212319,05/11/22-214316,1197.0351462364197,100,0.2310144007205963,0.2310144007205963,0.2629157304763794,0.2629157304763794,64,0.5,100,mean_absolute_error,100,rmsprop
47,05/11/22-214316,05/11/22-220250,1173.6537671089172,100,0.2911415994167328,0.2911415994167328,0.2978963553905487,0.2978963553905487,64,0.5,100,mean_absolute_error,100,Adam
